Category,Symbol,Close Price,Today Volume,7-Day Avg Volume,Volume Surge (%)
Microcap 250,SHAREINDIA,189.46,28852489,236114,12219.73
Nifty 500,GRAPHITE,844.65,36288867,1728605,2099.32
Smallcap 250,GRAPHITE,844.65,36288867,1728605,2099.32
Microcap 250,EIEL,206.06,13184801,719547,1832.37
Microcap 250,CORONA,2197.2,262839,15121,1738.24
Nifty 500,SARDAEN,545.85,5268296,368082,1431.28
Smallcap 250,SARDAEN,545.85,5268296,368082,1431.28
Smallcap 250,ONESOURCE,1530.1,2410784,197745,1219.13
Nifty 500,ONESOURCE,1530.1,2410784,197745,1219.13
Microcap 250,WESTLIFE,561.5,543540,52207,1041.12
Nifty 500,JSL,783.3,6366432,742453,857.49
Smallcap 250,MRPL,184.46,47473688,6978118,680.32
Nifty 500,MRPL,184.46,47473688,6978118,680.32
Nifty 500,COFORGE,1845.0,10836524,1667568,649.84
Microcap 250,ELLEN,355.05,2993465,471056,635.48
Smallcap 250,TEGA,1678.3,1152105,182613,630.9
Nifty 500,TEGA,1678.3,1152105,182613,630.9
Nifty 500,DLF,655.1,16999734,2704645,628.54
Smallcap 250,CHENNPETRO,1604.4,8400107,1355855,619.54
Nifty 500,CHENNPETRO,1604.4,8400107,1355855,619.54
Nifty 500,EMAMILTD,369.1,8039408,1310384,613.52
Smallcap 250,EMAMILTD,369.1,8039408,1310384,613.52
Microcap 250,WABAG,2130.9,2441238,412819,591.36
Microcap 250,BLACKBUCK,580.05,1124872,201377,558.59
Nifty 500,RPOWER,22.01,72135611,13652408,528.37
Smallcap 250,RPOWER,22.01,72135611,13652408,528.37
Microcap 250,AVL,623.1,930980,181338,513.39
Nifty 500,CESC,149.67,7428276,1507432,492.78
Smallcap 250,CESC,149.67,7428276,1507432,492.78
Smallcap 250,VIJAYA,1498.9,569470,129133,440.99
Nifty 500,VIJAYA,1498.9,569470,129133,440.99
Smallcap 250,PCBL,334.95,6362047,1480923,429.6
Nifty 500,PCBL,334.95,6362047,1480923,429.6
Nifty 500,BIOCON,395.0,10268628,2424087,423.61
Nifty 500,LTM,4412.0,1051138,258159,407.17
Nifty 500,NLCINDIA,271.55,4901162,1404605,348.94
Microcap 250,DATAMATICS,773.05,212120,65352,324.58
Nifty 500,HDFCLIFE,514.0,9022214,2796642,322.61
Nifty 500,AEGISLOG,1343.4,2121427,676581,313.55
Smallcap 250,AEGISLOG,1343.4,2121427,676581,313.55
Microcap 250,PCJEWELLER,13.87,697475553,224337782,310.9
Microcap 250,SUBROS,729.0,96599,31295,308.67
Smallcap 250,RHIM,376.9,559411,181532,308.16
Nifty 500,RHIM,376.9,559411,181532,308.16
Microcap 250,RAYMONDLSL,670.45,1148733,373346,307.69
Smallcap 250,PFIZER,4171.0,125680,41239,304.76
Nifty 500,PFIZER,4171.0,125680,41239,304.76
Nifty 500,SJVN,66.88,5366168,1804961,297.3
Smallcap 250,KEC,393.2,2064986,696355,296.54
Nifty 500,KEC,393.2,2064986,696355,296.54
Nifty 500,PAYTM,1751.5,8246127,2797651,294.75
Microcap 250,STLTECH,865.9,4381670,1504868,291.17
Microcap 250,NEOGEN,2255.2,234283,81734,286.64
Microcap 250,SANOFICONR,4049.5,11920,4164,286.21
Nifty 500,MAXHEALTH,1037.5,4590947,1612242,284.76
Microcap 250,CUPID,279.7,26775331,9428131,283.99
Microcap 250,BANCOINDIA,635.15,222389,80120,277.57
Nifty 500,DOMS,2190.8,157465,57028,276.12
Smallcap 250,DOMS,2190.8,157465,57028,276.12
Nifty 500,JSWINFRA,341.4,5358907,1955663,274.02
Nifty 500,GMDCLTD,574.55,1868300,696345,268.3
Smallcap 250,GMDCLTD,574.55,1868300,696345,268.3
Microcap 250,CAPILLARY,460.3,419478,159972,262.22
